報紙	报纸	bao4 zhi3	/newspaper/newsprint/
烤鴨	烤鸭	kao3 ya1	/roast duck/
上	上	shang4	/on/upper/
訂	订	ding4	/to reserve/
湖	湖	hu2	/lake/
用	用	yong4	/to use/
信用卡	信用卡	xin4 yong4 ka3	/credit card/
房間	房间	fang2 jian1	/room/
海灘	海滩	hai3 tan1	/beach/
旅館	旅馆	lu:3 guan3	/hotel/
大使館	大使馆	da4 shi3 guan3	/embassy/
上車	上车	shang4 che1	/to get on or into (a bus, train, car etc.)/
下車	下车	xia4 che1	/to get off (a bus, train, car etc.)/
