"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
315,"0725","成交","chéngjiāo ","I","(VA)","close a deal"
319,"0724","成立","chénglì ","I","(VA)","found, establish"
320,"1133","承認","chéngrèn ","I","(VA)","admit, acknowledge, recognize, give diplomatic recognition"
323,"0728","成為","chéngwéi ","I","(VA)","become, turn into"
329,"0648","吃喝玩樂","chīhēwánlè ","I","(VA)","idle away one's time in pleasure-seeking ,eat"
336,"0962","沖","chōng ","I","(VA)","pour boiling water on, rinse, flush, charge, rush, dash, clash, collide, develop (film)"
347,"1145","抽煙/菸","chōuyān","I","(VA)","smoke (pipe/etc.)"
353,"0373","出","chū ","I","(VA)","exceed,go beyond"
354,"0379","出版","chūbăn ","I","(VA)","come off the press,publish,come out"
357,"0381","出差","chūchāi ","I","(VA)","be away on official business or on a bus,be on a business trip,be away on official business"
360,"0387","出境","chūjìng ","I","(VA)","leave country,leave the country"
361,"0374","出口","chūkŏu ","I","(VA)","exit"
362,"0380","出門","chūmén ","I","(VA)","be away from home,go on journey,go out"
365,"0375","出生","chūshēng ","I","(VA)","be born"
367,"0385","出售","chūshòu ","I","(VA)","offer for sale,sell"
368,"0382","出席","chūxí ","I","(VA)","attend,be present"
369,"0384","出院","chūyuàn ","I","(VA)","leave hospital"
370,"0383","出租","chūzū ","I","(VA)","hire,let,rent"
373,"1820","除","chú ","I","(VA)"," (Math.) to divide"
374,"3189","儲存","chúcún ","I","(VA)","lay in/up,store,stockpile"
378,"3190","儲蓄","chúxù ","I","(VA)","save,deposit"
379,"2096","處","chŭ ","I","(VA)","be situated in,be in a certain condition,dwell,live"
380,"2100","處罰","chŭfá ","I","(VA)","punish,penalize"
381,"2098","處理","chŭlĭ","I","(VA)","handle,deal with,dispose of,process"
384,"2453","傳","chuán ","I","(VA)","pass (on),hand down,impart,teach,spread,transmit"
385,"2464","傳播","chuánbò ","I","(VA)","disseminate,propagate,spread"
386,"2461","傳達","chuándá ","I","(VA)","pass on,transmit,communicate"
391,"2454","傳染","chuánrăn ","I","(VA)","infect,be contagious"
392,"2462","傳說","chuánshuō ","I","(VA)","it is said, they say"
394,"2457","傳送","chuánsòng ","I","(VA)","transmit,deliver"
397,"2455","傳真","chuánzhēn ","I","(VA)","fax"
400,"3310","闖","chuăng ","I","(VA)","rush,dash,charge,temper oneself (by battling difficulties)"
401,"2179","創造","chuàngzào ","I","(VA)","create,produce,bring about"
410,"1048","刺","cì ","I","(VA)","thorn, splinter"
411,"1049","刺激","cìjī ","I","(VA)","provoking, exciting"
421,"2282","湊","còu ","I","(VA)","gather together, pool, collect, happen by chance, take advantage of, move close to, press near"
423,"2468","催","cuī ","I","(VA)","urge, hurry, press, hasten, expedite"
425,"0704","存","cún ","I","(VA)","store, deposit (money)"
427,"0705","存在","cúnzài ","I","(VA)","exist, be"
430,"2524","搓","cuō ","I","(VA)","rub with hand"
434,"2526","搭","dā ","I","(VA)","travel by or take (a conveyance)"
435,"2346","答","dá ","I","(VA)","answer, reply, return (a call/etc.), reciprocate"
437,"2690","達成","dáchéng ","I","(VA)","reach (an agreement)"
440,"0493","打扮","dăbàn ","I","(VA)","dress/make up, deck out, pose as"
