鬧鐘	闹钟	nao4 zhong1	/alarm clock/
颳鬍子	刮胡子	gua1 hu2 zi5	/shave/
亮	亮	liang4	/shine/shine on/
淋浴	淋浴	lin2 yu4	/shower/
熬	熬	ao2	/simmer/
洗滌池	洗涤池	xi3 di2 chi2	/sink/basin/
睡	睡	shui4	/sleep/
肥皂	肥皂	fei2 zao4	/soap/
香皂	香皂	xiang1 zao4	/soap/
肥皂盒	肥皂盒	fei2 zao4 he2	/soapdish/
沙發	沙发	sha1 fa1	/sofa/
湯	汤	tang1	/soup/
湯勺	汤勺	tang1 shao2	/soup ladle/
海綿	海绵	hai3 mian2	/sponge/
蒸	蒸	zheng1	/steam/
饅頭	馒头	man2 tou5	/ManTou (steamed buns)/
蒸锅	蒸锅	zheng1 guo1	/steamer/
音響	音响	yin1 xiang3	/stereo/
燉	炖	dun4	/stew/
炒	炒	chao3	/stir fry/
瀝水	沥水	li4 shui3	/strain/
瀝水盆	沥水盆	li4 shui3 pen2	/strainer/
掃地	扫地	sao3 di4	/sweep the floor/
泡澡	泡澡	pao4 zao3	/take a bath/
茶	茶	cha2	/tea/
電視	电视	dian4 shi4	/television/
燙	烫	tang4	/to iron/
熨	熨	yun4	/to iron/
牙	牙	ya2	/tooth/
牙刷	牙刷	ya2 shua1	/toothbrush/
牙膏	牙膏	ya2 gao1	/toothpaste/
毛巾	毛巾	mao2 jin1	/towel/
毛巾架	毛巾架	mao2 jin1 jia4	/towel bar/
擦幹	擦干	ca1 gan1	/towel dry/
開	开	kai1	/turn on/
打開	打开	da3 kai1	/turn on/
锅铲	锅铲	guo1 chan3	/turner, spatula/
吸塵器	吸尘器	xi1 chen2 qi4	/vacuum cleaner/
吸塵	吸尘	xi1 chen2	/vacuum-clean/
醒來	醒来	xing3 lai2	/wake up/
衣櫥 	衣橱 	yi1 chu2	/wardrobe/
衣櫃	衣柜	yi1 gui4	/wardrobe/
洗	洗	xi3	/wash/
洗菜盆	洗菜盆	xi3 cai4 pen2	/washbowl/
洗衣機	洗衣机	xi3 yi1 ji1	/washing machine/
抹	抹	ma1	/wipe/
炒鍋	炒锅	chao3 guo1	/wok/
抹布	抹布	ma1 bu4	/rag (to wipe things)/
