牛排	牛排	niu2 pai2	/steak/
饅頭	馒头	man2 tou5	/Mantou (steamed buns)/
包子	包子	bao1 zi5	/Baozi (steamed meat buns)/
燉	炖	dun4	/stew/
炒	炒	chao3	/stir fry/
糖	糖	tang2	/sugar/
甜	甜	tian2	/sweet/
糖醋	糖醋	tang2 cu4	/sweet and sour/
桌子	桌子	zhuo1 zi5	/table/
里脊	里脊	li3 ji3	/tenderloin/
牙籤	牙签	ya2 qian1	/toothpick/
硬	硬	ying4	/tough/
火雞	火鸡	huo3 ji1	/turkey/
吃素	吃素	chi1 su4	/vegetarian/
素菜	素菜	su4 cai4	/vegetarian dish/
醋	醋	cu4	/vinegar/
伏特加	伏特加	fu2 te4 jia1	/vodka/
服務員	服务员	fu2 wu4 yuan2	/waiter/
西餐	西餐	xi1 can1	/Western meal/
威士忌	威士忌	wei1 shi4 ji4	/whiskey/
白葡萄酒	白葡萄酒	bai2 pu2 tao2 jiu3	/white wine/
酒單	酒单	jiu3 dan1	/wine list/
烏龍茶 	乌龙茶 	wu1 long2 cha2	/Woolong tea/
